sceAta_driver
  0xE6219C61, sceDmacplusEnd
  0xC748491D, sceDmacplusQuerySuspend
  0x853C5EC6, sceDmacplusSuspend
  0xD49A5922, sceDmacplusResume
  0xA7B05225, sceDmacplusEnableIntr
  0xBF939272, sceDmacplusDisableIntr
  0x6AA3D654, sceDmacplusQueryIntr
  0x0DA570C1, sceDmacplusAcquireIntr
  0xFE3F3228, sceDmacplusLcdcInit
  0xCDB039A7, sceDmacplusLcdcEnd
  0xC3236D69, sceDmacplusLcdcQuerySuspend
  0xC8336549, sceDmacplusLcdcSuspend
  0x42BEB349, sceDmacplusLcdcResume
  0x29B50A82, sceDmacplus_driver_29B50A82
  0x58C380BB, sceDmacplus_driver_58C380BB
  0x8AE579CD, sceDmacplusLcdcSetFormat
  0x241601AE, sceDmacplusLcdcGetFormat
  0xF8C7C180, sceDmacplusLcdcEnable
  0x576522BC, sceDmacplusLcdcDisable
  0xBEC10779, sceDmacplusAvcInit
  0x7AAE5443, sceDmacplusAvcEnd
  0x1E7483D0, sceDmacplusAvcQuerySuspend
  0x168836CF, sceDmacplusAvcSuspend
  0x5E32C8AF, sceDmacplusAvcResume
  0xB2EFA681, sceDmacplus_driver_B2EFA681
  0x1D73DDA8, sceDmacplus_driver_1D73DDA8
  0x74323807, sceDmacplus_driver_74323807
  0x3A98EE05, sceDmacplusAvcSync
  0xFD8B15BC, sceDmacplusSc2MeInit
  0xF7DEC189, sceDmacplusSc2MeEnd
  0xD0464B29, sceDmacplusSc2MeQuerySuspend
  0xFEE3392C, sceDmacplusSc2MeSuspend
  0xC5B75E09, sceDmacplusSc2MeResume
  0x4B980588, sceDmacplusSc2MeNormal16
  0x3438DA0B, sceDmacplusSc2MeLLI
  0x58DE4914, sceDmacplusSc2MeSync
  0x1F5A80D0, sceDmacplusMe2ScInit
  0xD1E1567E, sceDmacplusMe2ScEnd
  0x9393B40D, sceDmacplusMe2ScQuerySuspend
  0x6D4F8BD7, sceDmacplusMe2ScSuspend
  0x78A55D62, sceDmacplusMe2ScResume
  0xBE693828, sceDmacplusMe2ScNormal16
  0x2D5940FF, sceDmacplusMe2ScLLI
  0xAB49D2CB, sceDmacplusMe2ScSync
  0xB6592A56, sceDmacplusSc128Init
  0x4F1B8D26, sceDmacplusSc128End
  0x410ED0DD, sceDmacplusSc128QuerySuspend
  0x3DB353DB, sceDmacplusSc128Suspend
  0x97DCBBBF, sceDmacplusSc128Resume
  0xC7D33466, sceDmacplusSc128Memcpy
  0x28558DBF, sceDmacplusSc128TryMemcpy
